# Hand-maintained ledger for `homm3 vc6 queue --smallest`.
# One row is added after five scored candidates, or after an ownership evidence
# pass proves that no defensible source candidate can yet be compiled.
rva	size	state	attempts	best_fuzzy	bank_commit	unit	function	reason
0x183ec0	33	excluded-dead-comdat	0	-	-	singleselectionwindow	CNewPlayerUpdateTask scalar deleting destructor	Whole-image evidence recorded beside the existing claim proves retail kept this unreferenced COMDAT, while the source-proven novtable non-virtual task interface cannot emit it; making the destructor virtual or removing novtable changes the exact task destructor and widens both concrete three-slot vtables.
0x132790	39	compiler-state-boundary	27	85.1765	-	rmg	shared concrete-adapter getSize	Both concrete adapter declarations and the shared ICF representative are admitted. Twenty-two further value/reference/assignment/component controls preserve the 85.1765% named-result peak; direct return scores 84.6471%. Remaining differences concern the returned temporary registers.
0x132240	21	compiler-state-boundary	5	97.5556	-	rmg	type_random_map::getSize	Five natural direct, named-result, constructed-result, assigned-result, and member-hoist forms preserve the hidden-return ABI and all stores but VC6 schedules the hidden result load after the width load; the historical 100% checkpoint is banked and current callers must retain their proven shared-header state.
0x1095a0	51	compiler-state-boundary	81	-	-	mapcell	std::copy<garrison>	After removing NewfullMap::load's synthetic resize wrapper, inline-depth pin and unattested VERIFY, 45 valid seer lifetime/public-API controls plus 32 scope/loop controls emit no standalone copy specialization. The caller reached 77.26911% with the quest-guard helper still pinned; removing that helper-wide pragma leaves 56.67278% and also stops emitting the exact university-copy helper. Three unpinned default-value controls recover the caller to 56.72171% with ordinary resize(count), but neither copy helper emits. The university-copy peak remains banked and the caller's former 93.4037% remains in HIST. Retail expands the proven garrison clear through erase/copy but retains later seer resize/size calls; those natural nested decisions remain unresolved.
0x1166e0	52	compiler-state-boundary	7	-	-	objecttype	std::bitset<10>::test	Retail retains the ordinary bounds-checked test in scoreObjectPlacement and tryPlaceMine, but no admitted object emits it. The three placement controls remain flat. Four mine-caller API/reference controls improve tryPlaceMine from 69.3906% to 71.5746% by restoring the later base constructor call; subscript access retains only _Xran, and all four still expand test. Natural retention depends on the remaining caller inliner boundaries.
0xe5960	56	compiler-state-boundary	21	99.5833	-	hero	hero::getPrimarySkillTotal	Dreamcast proves the four-iteration GetPrimarySkill sum and retail agrees in CFG and every instruction. More than five declaration, loop, accessor, and local-lifetime controls remain byte-flat at the sole commutative scale-1 SIB base/index encoding, so the residual belongs in the register-allocation bank. A further 16-candidate source batch retained the same peak; controls are recorded beside the function.
0x14d0a0	69	compiler-state-boundary	0	-	-	rmg	std::list<TPoint>::erase(iterator,iterator)	The recovered 0x543e20 branch routine proves a FIFO list of coordinate pairs, and its destructor, allocator, single-element insert and iterator erase now match exactly. A 64-candidate point-lifetime/public-call batch plus 13 list API controls raised the caller to 73.01996%, but VC6 still expands range erase in its cleanup and emits no standalone COMDAT; natural retention remains the caller's nested inliner boundary.
0x203ac0	77	compiler-state-boundary	7	85.8333	-	victor	victorMinimumDimensions	Recovered the unsigned inclusive-extent helper and its flipimage caller. The first stores agree, but VC6 loads height into EAX for the final comparison and hoists the register restores; retail uses a memory compare before a shared epilogue. Braced/C-language controls are flat, and /G6 changes the schedule further. /G3, /G4 and a named-local control are byte-flat. Inverted early-return and goto-exit controls keep 85.8333%; conditional assignment lowers it to 80.2778%.
0x15d070	92	compiler-state-boundary	26	96.7742	-	resourcemanager	ResourceManager::getBitmapResourceSize	More than five natural source forms preserve semantics but cannot reproduce retail's dead address materialization; the existing 96.77% peak remains authoritative. A further 21-candidate source batch retained the same peak; controls are recorded beside the function.
0xf4ba0	95	compiler-state-boundary	37	95.1191	-	kb	getNextHumanPlayer	More than five natural loop and branch forms retain the recovered player rotation semantics but do not reproduce retail's register and branch schedule. A further 30-candidate source batch retained the same peak; controls are recorded beside the function.
0x1154a0	97	compiler-state-boundary	10	-	-	objecttype	std::bitset<48>::bitset(unsigned long)	TObjectTypeTable::load uses the unsigned-long constructor, but objecttype.obj expands it. Removing the obsolete iterator-emission wrapper is flat across the TU; eight established text-accessor/istrstream-overload controls also emit no constructor. Retention still depends on the resize default value's nested inlining state; default-constructing the passability mask would erase the retail-proven ulong boundary.
0xd9260	104	compiler-state-boundary	65	96.5278	-	hero	hero::destroySiegeWeaponArtifact	More than five recovered branch and artifact-slot forms preserve behavior but do not reproduce retail's register and control schedule; the 96.53% peak is retained. A further 60-candidate source batch retained the same peak; controls are recorded beside the function.
0x98b70	110	compiler-state-boundary	46	88.4210	-	dxplay	CDPlayLobby::testLobbied	More than five natural branch forms documented beside the function preserve lobby semantics without recovering retail's control and register schedule. A further 41-candidate source batch retained the same peak; controls are recorded beside the function.
0x2037a0	110	compiler-state-boundary	5	90.0976	-	victor	freeimage	Recovered Victor ownership and a separate frameless profile. The ordinary C++ release routine is admitted at 90.0976%; retail saves ESI at entry while VC6 saves it only in the header-release branch. Early-return, C-language and processor/EH/inlining controls do not recover that prologue placement. /G3, /G4 and a named-local control are byte-flat. An explicit read-error goto to the final return also leaves the conditional ESI save/restore and score unchanged.
